x,y,z
1445.0,122.0,1297
1420.0,71.0,1295
1412.0,36.0,1271
1450.0,98.0,1326
1437.0,63.0,1300
1435.0,91.0,1278
1435.0,101.0,1297
1455.0,96.0,1290
1467.0,117.0,1305
1467.0,110.0,1318
1470.0,115.0,1297
1475.0,135.0,1345
1480.0,132.0,1295
1497.0,165.0,1302
1492.0,157.0,1350
1507.0,172.0,1333
1487.0,175.0,1300
1505.0,170.0,1316
1480.0,190.0,1347
1532.0,223.0,1350
1495.0,228.0,1316
1512.0,218.0,1357
1547.0,236.0,1336
1540.0,253.0,1360
1520.0,261.0,1300
1530.0,251.0,1326
1547.0,266.0,1350
1562.0,283.0,1345
1570.0,278.0,1342
1582.0,320.0,1365
1552.0,296.0,1371
1565.0,306.0,1331
1582.0,340.0,1352
1552.0,311.0,1352
1572.0,330.0,1373
1606.0,347.0,1362
1565.0,350.0,1362
1592.0,377.0,1368
1575.0,417.0,1347
1580.0,417.0,1365
1577.0,433.0,1368
1595.0,443.0,1397
1587.0,458.0,1386
1575.0,466.0,1383
1602.0,473.0,1378
1572.0,501.0,1402
1567.0,518.0,1383
1585.0,516.0,1378
1595.0,542.0,1412
1587.0,565.0,1391
1606.0,590.0,1407
1595.0,610.0,1423
1562.0,632.0,1412
1570.0,666.0,1405
1567.0,656.0,1415
1560.0,701.0,1410
1547.0,716.0,1400
1527.0,750.0,1426
1512.0,777.0,1443
1525.0,800.0,1431
1522.0,800.0,1438
1502.0,822.0,1426
1470.0,846.0,1446
1477.0,846.0,1431
1480.0,846.0,1455
1455.0,866.0,1452
1425.0,881.0,1428
1437.0,886.0,1412
1435.0,916.0,1441
1445.0,908.0,1431
1405.0,946.0,1428
1400.0,950.0,1455
1365.0,923.0,1438
1382.0,946.0,1436
1367.0,933.0,1455
1345.0,975.0,1452
1352.0,972.0,1475
1322.0,967.0,1438
1320.0,977.0,1465
1305.0,985.0,1448
1290.0,997.0,1436
1295.0,997.0,1443
1278.0,1047.0,1443
1258.0,1017.0,1417
1256.0,1037.0,1441
1263.0,1045.0,1428
1231.0,1027.0,1452
1218.0,1040.0,1423
1241.0,1037.0,1452
1208.0,1047.0,1460
1188.0,1071.0,1448
1151.0,1063.0,1446
1148.0,1088.0,1441
1113.0,1098.0,1426
1098.0,1071.0,1455
1091.0,1063.0,1415
1066.0,1076.0,1436
1061.0,1091.0,1433
1028.0,1103.0,1433
1036.0,1050.0,1472
1008.0,1108.0,1462
988.0,1073.0,1415
976.0,1081.0,1452
963.0,1081.0,1426
950.0,1091.0,1446
917.0,1093.0,1455
902.0,1086.0,1465
917.0,1106.0,1436
897.0,1088.0,1438
862.0,1061.0,1420
860.0,1053.0,1441
832.0,1073.0,1426
825.0,1076.0,1438
835.0,1061.0,1426
805.0,1068.0,1417
815.0,1058.0,1423
780.0,1058.0,1412
767.0,1078.0,1438
782.0,1037.0,1431
745.0,1047.0,1428
742.0,1042.0,1420
730.0,1035.0,1397
717.0,1002.0,1436
682.0,1002.0,1426
682.0,1030.0,1410
687.0,1037.0,1402
662.0,995.0,1415
660.0,997.0,1423
650.0,972.0,1400
616.0,975.0,1407
642.0,936.0,1388
586.0,977.0,1428
588.0,946.0,1417
581.0,952.0,1415
581.0,948.0,1393
546.0,908.0,1371
533.0,923.0,1407
533.0,886.0,1405
538.0,886.0,1402
526.0,863.0,1410
508.0,896.0,1386
513.0,876.0,1405
491.0,853.0,1388
503.0,840.0,1388
481.0,843.0,1386
478.0,800.0,1393
453.0,812.0,1391
441.0,790.0,1371
471.0,790.0,1393
451.0,802.0,1381
458.0,777.0,1376
421.0,757.0,1371
433.0,740.0,1378
436.0,713.0,1368
426.0,708.0,1362
408.0,686.0,1388
418.0,691.0,1355
413.0,658.0,1373
411.0,632.0,1383
411.0,661.0,1368
388.0,651.0,1376
391.0,620.0,1368
368.0,580.0,1342
358.0,595.0,1376
358.0,565.0,1340
366.0,547.0,1352
346.0,557.0,1340
338.0,513.0,1376
368.0,491.0,1345
363.0,491.0,1350
371.0,486.0,1302
348.0,483.0,1357
401.0,463.0,1318
378.0,423.0,1326
371.0,428.0,1313
353.0,412.0,1328
351.0,410.0,1347
341.0,387.0,1318
358.0,375.0,1297
361.0,375.0,1345
371.0,347.0,1313
348.0,332.0,1300
351.0,313.0,1328
371.0,322.0,1313
383.0,303.0,1300
381.0,281.0,1302
363.0,271.0,1323
391.0,268.0,1331
386.0,228.0,1287
398.0,216.0,1281
418.0,210.0,1297
388.0,165.0,1287
428.0,180.0,1290
396.0,202.0,1271
441.0,157.0,1278
413.0,160.0,1295
426.0,125.0,1290
471.0,127.0,1261
436.0,71.0,1276
448.0,78.0,1266
483.0,56.0,1242
493.0,53.0,1273
511.0,43.0,1263
488.0,53.0,1305
481.0,36.0,1266
481.0,41.0,1252
488.0,66.0,1268
456.0,58.0,1310
476.0,68.0,1273
448.0,112.0,1271
458.0,101.0,1295
433.0,142.0,1292
413.0,135.0,1268
418.0,165.0,1285
406.0,177.0,1310
421.0,190.0,1316
376.0,202.0,1323
406.0,228.0,1300
391.0,236.0,1295
393.0,258.0,1300
398.0,271.0,1302
373.0,266.0,1273
381.0,301.0,1292
356.0,298.0,1310
361.0,330.0,1307
368.0,340.0,1297
351.0,352.0,1290
371.0,390.0,1326
341.0,410.0,1321
381.0,400.0,1313
373.0,412.0,1307
378.0,433.0,1318
371.0,423.0,1326
368.0,448.0,1323
361.0,481.0,1321
366.0,466.0,1318
383.0,461.0,1307
396.0,498.0,1323
368.0,498.0,1321
351.0,516.0,1345
416.0,552.0,1326
341.0,547.0,1350
378.0,535.0,1347
383.0,526.0,1313
401.0,577.0,1318
396.0,580.0,1323
406.0,547.0,1326
391.0,582.0,1340
383.0,617.0,1331
421.0,595.0,1357
391.0,607.0,1340
403.0,661.0,1350
411.0,648.0,1342
396.0,663.0,1345
431.0,681.0,1342
441.0,691.0,1345
448.0,683.0,1347
433.0,733.0,1357
443.0,750.0,1368
458.0,762.0,1347
481.0,750.0,1333
466.0,805.0,1340
491.0,817.0,1355
486.0,817.0,1376
501.0,805.0,1378
523.0,837.0,1340
526.0,842.0,1368
531.0,837.0,1365
536.0,868.0,1376
541.0,868.0,1400
591.0,913.0,1371
588.0,901.0,1362
581.0,901.0,1368
598.0,911.0,1381
618.0,903.0,1342
642.0,946.0,1360
657.0,957.0,1378
667.0,950.0,1412
680.0,960.0,1373
677.0,975.0,1397
697.0,952.0,1386
745.0,992.0,1352
735.0,992.0,1365
735.0,1000.0,1386
785.0,1000.0,1386
780.0,1015.0,1381
810.0,990.0,1350
787.0,1017.0,1383
837.0,1000.0,1373
837.0,1010.0,1368
855.0,1027.0,1386
887.0,1035.0,1376
900.0,1035.0,1405
927.0,1027.0,1391
930.0,1040.0,1362
937.0,1040.0,1373
935.0,1040.0,1378
971.0,1005.0,1391
1008.0,1020.0,1386
1021.0,1050.0,1400
1061.0,1020.0,1397
1081.0,1022.0,1371
1113.0,1022.0,1412
1111.0,1022.0,1360
1126.0,1022.0,1386
1138.0,1005.0,1365
1136.0,990.0,1376
1181.0,1012.0,1376
1223.0,1015.0,1381
1211.0,950.0,1360
1218.0,952.0,1405
1218.0,970.0,1362
1238.0,948.0,1362
1256.0,948.0,1345
1261.0,946.0,1371
1263.0,948.0,1357
1256.0,916.0,1371
1281.0,921.0,1352
1320.0,886.0,1352
1350.0,888.0,1355
1340.0,848.0,1368
1355.0,837.0,1342
1402.0,848.0,1345
1405.0,810.0,1345
1397.0,840.0,1362
1430.0,785.0,1371
1417.0,790.0,1347
1442.0,795.0,1357
1420.0,777.0,1340
1445.0,777.0,1345
1457.0,757.0,1357
1482.0,701.0,1331
1487.0,688.0,1328
1520.0,641.0,1340
1522.0,622.0,1340
1505.0,605.0,1321
1520.0,602.0,1321
1525.0,547.0,1316
1550.0,521.0,1307
1547.0,508.0,1328
1535.0,501.0,1313
1552.0,468.0,1302
1550.0,448.0,1313
1567.0,438.0,1307
1555.0,412.0,1323
1545.0,395.0,1276
1557.0,352.0,1290
1547.0,385.0,1321
1540.0,347.0,1271
1550.0,332.0,1297
1542.0,283.0,1281
1535.0,268.0,1295
1525.0,291.0,1273
1537.0,258.0,1281
1520.0,246.0,1290
1540.0,205.0,1281
1512.0,210.0,1242
1495.0,187.0,1263
1510.0,125.0,1263
1490.0,132.0,1250
1512.0,88.0,1281
1497.0,93.0,1258
1462.0,83.0,1242
1447.0,53.0,1245
1465.0,46.0,1266
1445.0,48.0,1242
1480.0,58.0,1266
1450.0,41.0,1250
1437.0,46.0,1261
1452.0,51.0,1218
1432.0,43.0,1240
1442.0,1.0,1235
1417.0,-1.0,1240
1427.0,-13.0,1240
1400.0,-11.0,1240
1400.0,-28.0,1223
1392.0,-73.0,1226
1372.0,-1.0,1240
1372.0,-46.0,1237
1395.0,-56.0,1263
1367.0,-93.0,1221
1360.0,-48.0,1245
1367.0,-101.0,1206
1365.0,-68.0,1221
1337.0,-101.0,1211
1325.0,-91.0,1221
1310.0,-83.0,1221
1347.0,-81.0,1230
1337.0,-103.0,1240
1300.0,-98.0,1203
1312.0,-110.0,1213
1281.0,-145.0,1201
1297.0,-147.0,1195
1273.0,-127.0,1206
1276.0,-135.0,1206
1285.0,-150.0,1223
1248.0,-142.0,1195
1248.0,-160.0,1216
1228.0,-172.0,1190
1198.0,-155.0,1195
1198.0,-190.0,1206
1208.0,-175.0,1213
1221.0,-170.0,1206
1218.0,-152.0,1187
1166.0,-177.0,1218
1166.0,-187.0,1223
1176.0,-192.0,1203
1161.0,-190.0,1187
1148.0,-221.0,1230
1146.0,-223.0,1187
1121.0,-218.0,1190
1121.0,-207.0,1185
1108.0,-185.0,1197
1123.0,-213.0,1197
1093.0,-202.0,1203
1101.0,-202.0,1216
1108.0,-218.0,1197
1066.0,-211.0,1195
1058.0,-263.0,1195
1061.0,-226.0,1216
1036.0,-236.0,1208
1008.0,-221.0,1177
1008.0,-241.0,1213
1013.0,-231.0,1226
1001.0,-233.0,1187
1018.0,-216.0,1201
991.0,-236.0,1192
976.0,-241.0,1206
1001.0,-207.0,1197
920.0,-228.0,1190
952.0,-233.0,1187
935.0,-243.0,1208
937.0,-231.0,1172
932.0,-241.0,1190
902.0,-236.0,1177
897.0,-223.0,1190
892.0,-233.0,1211
875.0,-226.0,1192
850.0,-223.0,1187
817.0,-216.0,1206
840.0,-231.0,1185
850.0,-205.0,1197
835.0,-238.0,1197
817.0,-248.0,1180
810.0,-207.0,1223
795.0,-223.0,1213
770.0,-216.0,1206
795.0,-211.0,1218
747.0,-241.0,1197
767.0,-192.0,1206
762.0,-197.0,1197
740.0,-200.0,1190
725.0,-192.0,1182
752.0,-192.0,1218
737.0,-190.0,1230
710.0,-167.0,1197
702.0,-177.0,1218
715.0,-195.0,1213
687.0,-180.0,1240
685.0,-165.0,1203
675.0,-202.0,1245
660.0,-185.0,1213
642.0,-167.0,1195
613.0,-170.0,1250
660.0,-155.0,1230
631.0,-120.0,1226
601.0,-140.0,1221
616.0,-117.0,1242
591.0,-112.0,1221
578.0,-81.0,1223
548.0,-73.0,1250
546.0,-73.0,1218
536.0,-61.0,1226
531.0,-38.0,1263
516.0,-46.0,1237
483.0,-18.0,1271
486.0,-6.0,1250
493.0,0.0,1252
468.0,6.0,1232
453.0,26.0,1263
448.0,58.0,1242
466.0,66.0,1290
436.0,91.0,1237
438.0,83.0,1276
413.0,86.0,1252
428.0,101.0,1263
388.0,135.0,1278
398.0,137.0,1266
386.0,132.0,1250
406.0,167.0,1247
391.0,157.0,1271
376.0,177.0,1278
361.0,216.0,1276
358.0,231.0,1258
363.0,202.0,1287
356.0,213.0,1300
383.0,266.0,1300
373.0,273.0,1292
371.0,283.0,1316
381.0,306.0,1278
328.0,313.0,1307
366.0,311.0,1300
353.0,327.0,1295
333.0,342.0,1278
386.0,362.0,1310
378.0,362.0,1302
366.0,370.0,1292
341.0,367.0,1307
373.0,395.0,1305
366.0,402.0,1313
373.0,420.0,1305
376.0,433.0,1313
348.0,421.0,1331
356.0,456.0,1340
346.0,468.0,1313
356.0,483.0,1342
358.0,471.0,1323
371.0,506.0,1336
353.0,498.0,1340
348.0,483.0,1323
368.0,483.0,1326
363.0,496.0,1336
366.0,461.0,1300
398.0,461.0,1302
356.0,443.0,1336
333.0,471.0,1376
356.0,441.0,1321
348.0,410.0,1316
356.0,387.0,1328
371.0,392.0,1313
373.0,362.0,1302
336.0,360.0,1313
368.0,322.0,1323
373.0,298.0,1302
398.0,276.0,1292
391.0,266.0,1290
373.0,253.0,1271
376.0,205.0,1261
383.0,197.0,1273
373.0,192.0,1258
408.0,145.0,1278
411.0,150.0,1247
443.0,101.0,1266
436.0,98.0,1268
443.0,76.0,1266
448.0,56.0,1247
486.0,48.0,1256
471.0,33.0,1250
476.0,6.0,1245
503.0,-13.0,1256
518.0,-38.0,1247
521.0,-48.0,1230
541.0,-43.0,1266
573.0,-71.0,1242
606.0,-105.0,1240
606.0,-91.0,1242
608.0,-117.0,1226
613.0,-130.0,1213
638.0,-145.0,1213
642.0,-155.0,1195
660.0,-165.0,1232
685.0,-170.0,1216
715.0,-177.0,1211
717.0,-190.0,1192
760.0,-190.0,1216
790.0,-218.0,1208
760.0,-210.0,1232
832.0,-218.0,1192
830.0,-248.0,1190
860.0,-223.0,1211
847.0,-211.0,1203
915.0,-228.0,1216
930.0,-228.0,1208
940.0,-228.0,1208
960.0,-223.0,1182
963.0,-211.0,1175
998.0,-236.0,1182
963.0,-248.0,1211
1033.0,-216.0,1203
1046.0,-216.0,1195
1043.0,-238.0,1197
1061.0,-218.0,1185
1111.0,-210.0,1197
1106.0,-221.0,1192
1113.0,-213.0,1192
1113.0,-182.0,1242
1171.0,-182.0,1237
1193.0,-177.0,1208
1201.0,-160.0,1197
1196.0,-175.0,1226
1196.0,-152.0,1235
1226.0,-175.0,1197
1226.0,-170.0,1177
1263.0,-140.0,1211
1243.0,-135.0,1195
1295.0,-127.0,1180
1295.0,-88.0,1203
1317.0,-76.0,1213
1332.0,-68.0,1232
1350.0,-83.0,1213
1370.0,-53.0,1216
1367.0,-43.0,1230
1365.0,-38.0,1226
1402.0,28.0,1230
1412.0,-6.0,1221
1417.0,6.0,1235
1430.0,6.0,1226
1442.0,36.0,1240
1457.0,38.0,1213
1447.0,61.0,1221
1465.0,91.0,1256
1477.0,93.0,1232
1470.0,81.0,1240
1475.0,78.0,1273
1460.0,66.0,1226
1490.0,115.0,1247
1460.0,110.0,1247
1490.0,120.0,1261
1515.0,137.0,1271
1507.0,132.0,1252
1522.0,135.0,1256
1512.0,140.0,1281
1507.0,167.0,1250
1530.0,157.0,1235
1532.0,167.0,1256
1485.0,190.0,1250
1527.0,177.0,1258
1530.0,185.0,1252
1545.0,218.0,1258
1532.0,205.0,1263
1542.0,228.0,1266
1545.0,246.0,1256
1530.0,238.0,1287
1540.0,228.0,1271
1525.0,233.0,1266
1565.0,258.0,1266
1557.0,263.0,1285
